split,raw_state_low,raw_state_mid,raw_state_high,mu_low,mu_mid,mu_high,gap_low_mid,gap_mid_high,gap_low_high,count_low,count_mid,count_high
2005-02-02_2011-02-01,1,2,0,0.005300592060182024,0.010791549780002727,0.027097788901519863,0.0054909577198207025,0.016306239121517137,0.021797196841337838,557,720,233
2006-02-02_2012-02-01,0,2,1,0.006624383751247392,0.013329544195980047,0.031186958333755364,0.006705160444732655,0.017857414137775317,0.024562574582507973,691,640,179
2007-02-02_2013-02-01,0,2,1,0.007229595751405676,0.013385444118731955,0.030930249149042396,0.006155848367326279,0.017544805030310442,0.02370065339763672,693,634,183
2008-02-04_2014-01-31,0,2,1,0.007043261094524727,0.013564718517951959,0.03202655312919857,0.006521457423427232,0.01846183461124661,0.02498329203467384,794,547,168
2009-02-02_2015-01-30,0,1,2,0.005613377674404954,0.009469666387062368,0.018398348170051877,0.0038562887126574142,0.008928681782989509,0.012784970495646922,613,589,307
2010-02-02_2016-02-01,0,2,1,0.005654247082406365,0.00914169100492782,0.016683882227166057,0.0034874439225214557,0.007542191222238237,0.011029635144759693,680,579,250
2011-02-02_2017-02-01,1,2,0,0.005567952349644141,0.00900037454848409,0.01653615320169494,0.003432422198839949,0.00753577865321085,0.010968200852050799,760,543,207
2012-02-02_2018-02-01,1,2,0,0.004109968152631689,0.006226161020029362,0.009989041246114808,0.002116192867397673,0.003762880226085446,0.005879073093483119,466,529,515
2013-02-04_2019-02-01,0,2,1,0.004117938450618928,0.0066157312446915,0.012141401512606696,0.002497792794072572,0.005525670267915196,0.008023463061987767,507,610,393
2014-02-03_2020-01-31,1,2,0,0.004112576553171932,0.006762590571030935,0.012362787499369483,0.0026500140178590034,0.005600196928338548,0.008250210946197552,553,566,391
2015-02-02_2021-02-01,1,0,2,0.0041095600230188,0.006928990450960734,0.015950144306653157,0.002819430427941934,0.009021153855692424,0.011840584283634357,463,583,465
2016-02-02_2022-02-01,1,0,2,0.00427254542812848,0.007403504365630076,0.016296701998566476,0.003130958937501596,0.0088931976329364,0.012024156570437997,558,550,404
2017-02-02_2023-02-01,1,0,2,0.005026905237079057,0.011567355267062844,0.02310208205060083,0.006540450029983787,0.011534726783537985,0.018075176813521773,711,612,187
2018-02-02_2024-02-01,2,0,1,0.006207966549075064,0.011732753203933428,0.022121469327520755,0.005524786654858364,0.010388716123587327,0.015913502778445693,739,555,215
